time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-31T13:52:59.320Z,19.3999996,-155.254837,0.39,2.36,ml,26,81,0.01071,0.17,hv,hv70213092,2018-05-31T13:58:40.150Z,"3km SSW of Volcano, Hawaii",earthquake,0.22,0.27,0.23,11,automatic,hv,hv
2018-05-31T13:34:13.980Z,19.3913326,-155.2870026,0.62,1.84,ml,15,82,0.006908,0.18,hv,hv70213047,2018-05-31T13:40:03.080Z,"6km SW of Volcano, Hawaii",earthquake,0.2,0.37,0.21,3,automatic,hv,hv
2018-05-31T13:29:32.640Z,19.3850002,-155.2646637,0.92,1.78,md,10,160,0.01324,0.25,hv,hv70213032,2018-05-31T13:32:25.160Z,"5km SSW of Volcano, Hawaii",earthquake,0.7,0.93,0.14,6,automatic,hv,hv
2018-05-31T13:20:37.020Z,19.4505005,-155.283493,3.85,2.16,ml,19,104,0.0123,0.22,hv,hv70213017,2018-05-31T13:26:16.630Z,"5km WNW of Volcano, Hawaii",earthquake,1.06,0.74,0.34,8,automatic,hv,hv
2018-05-31T13:13:35.430Z,19.4080009,-155.2923279,-0.08,1.8,md,9,88,0.01236,0.11,hv,hv70212992,2018-05-31T13:16:35.250Z,"6km WSW of Volcano, Hawaii",earthquake,0.23,0.27,0.05,7,automatic,hv,hv
2018-05-31T12:16:39.200Z,19.4246674,-155.2613373,0.15,2.03,ml,19,122,0.001665,0.18,hv,hv70212837,2018-05-31T12:22:17.800Z,"2km WSW of Volcano, Hawaii",earthquake,0.26,0.29,0.45,5,automatic,hv,hv
2018-05-31T12:07:27.180Z,19.4096661,-155.2911682,0.03,1.85,ml,14,72,0.01038,0.12,hv,hv70212802,2018-05-31T12:13:07.700Z,"6km WSW of Volcano, Hawaii",earthquake,0.19,0.26,0.25,7,automatic,hv,hv
2018-05-31T11:55:48.410Z,19.4015007,-155.2904968,0.88,1.72,ml,18,63,0.01704,0.15,hv,hv70212762,2018-05-31T12:01:33.260Z,"6km WSW of Volcano, Hawaii",earthquake,0.22,0.29,0.17,6,automatic,hv,hv
2018-05-31T11:27:20.410Z,19.4051666,-155.2858276,1.33,1.77,md,15,93,0.01254,0.17,hv,hv70212692,2018-05-31T11:30:25.120Z,"5km WSW of Volcano, Hawaii",earthquake,0.42,0.41,0.53,12,automatic,hv,hv
2018-05-31T10:39:06.840Z,19.4161663,-155.2728271,1.11,2.18,ml,22,49,0.009655,0.12,hv,hv70212602,2018-05-31T10:44:46.750Z,"4km WSW of Volcano, Hawaii",earthquake,0.27,0.2,0.25,11,automatic,hv,hv
2018-05-31T10:36:15.700Z,19.3964996,-155.2910004,-0.21,1.8,ml,18,57,0.01323,0.22,hv,hv70212597,2018-05-31T10:41:55.760Z,"6km SW of Volcano, Hawaii",earthquake,0.26,0.38,0.24,6,automatic,hv,hv
2018-05-31T10:06:01.520Z,19.3826675,-155.2731628,1.35,1.91,ml,19,70,0.008942,0.38,hv,hv70212512,2018-05-31T18:08:54.337Z,"6km SW of Volcano, Hawaii",earthquake,0.59,0.63,0.28,9,automatic,hv,hv
2018-05-31T09:50:52.270Z,19.4160004,-155.2384949,-0.21,1.73,md,13,144,0.02055,0.15,hv,hv70212477,2018-05-31T09:53:59.130Z,"1km S of Volcano, Hawaii",earthquake,0.27,0.44,0.27,10,automatic,hv,hv
2018-05-31T09:47:47.910Z,19.3969994,-155.264328,0.41,1.99,ml,15,76,0.002029,0.13,hv,hv70212467,2018-05-31T09:53:28.260Z,"4km SW of Volcano, Hawaii",earthquake,0.29,0.25,0.34,5,automatic,hv,hv
2018-05-31T09:45:21.690Z,19.4139996,-155.2386627,-1.06,2.92,ml,38,49,0.02011,0.37,hv,hv70212462,2018-05-31T12:00:46.148Z,"1km S of Volcano, Hawaii",earthquake,0.34,0.32,2.94,29,automatic,hv,hv
2018-05-31T09:33:59.730Z,19.435833,-155.2621613,-1.01,2.07,ml,16,149,0.01015,0.27,hv,hv70212427,2018-05-31T09:39:38.850Z,"2km WNW of Volcano, Hawaii",earthquake,0.32,0.44,0.26,6,automatic,hv,hv
2018-05-31T09:05:07.010Z,19.4041667,-155.2896667,-0.02,2.29,ml,21,66,0.01442,0.13,hv,hv70212382,2018-06-27T07:21:09.499Z,"6km WSW of Volcano, Hawaii",earthquake,0.17,0.21,0.175,13,reviewed,hv,hv
2018-05-31T08:02:57.600Z,19.4188328,-155.2728271,1.24,1.93,ml,19,48,0.00741,0.09,hv,hv70212232,2018-06-27T07:20:21.271Z,"3km WSW of Volcano, Hawaii",earthquake,0.26,0.13,0.21,7,automatic,hv,hv
2018-05-31T07:51:45.620Z,19.4286667,-155.269,-1.08,1.77,ml,19,127,0.002011,0.29,hv,hv70212207,2018-08-28T16:29:10.040Z,"3km W of Volcano, Hawaii",earthquake,0.19,0.16,0.07,7,reviewed,hv,hv
2018-05-31T07:45:24.430Z,19.3843327,-155.2779999,1.79,1.82,ml,9,239,0.01172,0.09,hv,hv70212197,2018-05-31T07:51:03.150Z,"6km SW of Volcano, Hawaii",earthquake,2.43,0.3,3.06,5,automatic,hv,hv
2018-05-31T07:44:48.950Z,19.4009991,-155.2906647,0.97,1.95,ml,24,45,0.01669,0.16,hv,hv70212192,2018-05-31T15:47:32.405Z,"6km WSW of Volcano, Hawaii",earthquake,0.17,0.26,0.12,9,automatic,hv,hv
2018-05-31T07:41:26.850Z,19.4221668,-155.2700043,1.57,2.25,ml,25,60,0.005355,0.21,hv,hv70212182,2018-08-28T16:29:10.040Z,"3km WSW of Volcano, Hawaii",earthquake,0.4,0.23,0.24,10,automatic,hv,hv
2018-05-31T05:16:12.560Z,19.3959999,-155.2998352,2.3,1.91,ml,9,220,0.02616,0.1,hv,hv70211817,2018-05-31T05:21:50.830Z,"7km WSW of Volcano, Hawaii",earthquake,0.95,0.63,0.28,3,automatic,hv,hv
2018-05-31T05:01:19.080Z,19.4121666,-155.2786713,0.92,2.68,ml,41,36,0.007491,0.2,hv,hv70211777,2018-08-28T16:29:07.040Z,"4km WSW of Volcano, Hawaii",earthquake,0.3,0.14,1.97,23,automatic,hv,hv
2018-05-31T03:20:24.410Z,19.4348335,-155.2676697,0.8,1.95,ml,13,261,0.007715,0.3,hv,hv70211552,2018-05-31T16:53:01.574Z,"3km W of Volcano, Hawaii",earthquake,0.83,0.51,0.33,5,automatic,hv,hv
2018-05-31T01:54:35.550Z,19.4284992,-155.3045044,1.48,1.74,ml,14,237,0.01465,0.28,hv,hv70211377,2018-05-31T02:00:15.530Z,"7km W of Volcano, Hawaii",earthquake,0.98,0.42,0.13,6,automatic,hv,hv
2018-05-31T01:35:04.020Z,19.3898335,-155.2693329,0.5,2.21,ml,15,91,0.006846,0.22,hv,hv70211332,2018-05-31T01:40:44.340Z,"5km SW of Volcano, Hawaii",earthquake,0.33,0.27,0.36,8,automatic,hv,hv
2018-05-31T00:48:02.030Z,19.4193325,-155.2745056,0.84,2.12,ml,21,41,0.00613,0.11,hv,hv70211222,2018-05-31T07:26:33.876Z,"4km WSW of Volcano, Hawaii",earthquake,0.24,0.16,2.09,10,automatic,hv,hv
2018-05-30T23:11:30.550Z,19.4239998,-155.2350006,-0.63,1.88,ml,14,209,0.0245,0.12,hv,hv70210967,2018-05-30T23:17:11.710Z,"0km SSE of Volcano, Hawaii",earthquake,0.29,0.31,0.36,6,automatic,hv,hv
2018-05-30T22:53:09.570Z,19.3834991,-155.2618408,1.19,1.97,md,9,129,0.01197,0.25,hv,hv70210927,2018-05-30T23:59:04.124Z,"5km SSW of Volcano, Hawaii",earthquake,1.03,0.93,0.29,4,automatic,hv,hv
